field,query,expected,predicted
end_date,"Looking for a 7-day family getaway to Sydney, around $1200, staying at a resort, mainly for relaxation.",2025-04-16,
trip_duration,"Looking for a 7-day family getaway to Sydney, around $1200, staying at a resort, mainly for relaxation.",7,
start_date,"Looking for a 7-day family holiday to Sydney, around $1200, booked in a resort, mainly for relaxation.",2025-04-09,
end_date,"Looking for a 7-day family holiday to Sydney, around $1200, booked in a resort, mainly for relaxation.",2025-04-16,
trip_duration,"Looking for a 7-day family holiday to Sydney, around $1200, booked in a resort, mainly for relaxation.",7,
start_date,"I want a 7-day family getaway to Sydney, around $1200, staying at a resort, mainly for relaxation.",2025-04-09,
end_date,"I want a 7-day family getaway to Sydney, around $1200, staying at a resort, mainly for relaxation.",2025-04-16,
trip_duration,"I want a 7-day family getaway to Sydney, around $1200, staying at a resort, mainly for relaxation.",7,
start_date,"Looking for a 3-day solo getaway to London, around $1200, staying at a resort, mainly for beaches.",2025-09-04,
end_date,"Looking for a 3-day solo getaway to London, around $1200, staying at a resort, mainly for beaches.",2025-09-07,
trip_duration,"Looking for a 3-day solo getaway to London, around $1200, staying at a resort, mainly for beaches.",3,
start_date,"I want a 3-day solo holiday to London, around $1200, staying at a resort, mainly for beaches.",2025-09-04,
end_date,"I want a 3-day solo holiday to London, around $1200, staying at a resort, mainly for beaches.",2025-09-07,
trip_duration,"I want a 3-day solo holiday to London, around $1200, staying at a resort, mainly for beaches.",3,
start_date,"Looking for a 3-day solo holiday to London, about $1200, staying at a resort, mainly for beaches.",2025-09-04,
end_date,"Looking for a 3-day solo holiday to London, about $1200, staying at a resort, mainly for beaches.",2025-09-07,
trip_duration,"Looking for a 3-day solo holiday to London, about $1200, staying at a resort, mainly for beaches.",3,
start_date,"Family vacation to London (2025-10-24–2025-10-28) with $800 for 3 people, prefer resort, focusing on beaches, history.",2025-10-24,2025-11-05
end_date,"Family vacation to London (2025-10-24–2025-10-28) with $800 for 3 people, prefer resort, focusing on beaches, history.",2025-10-28,2025-11-06
trip_duration,"Family vacation to London (2025-10-24–2025-10-28) with $800 for 3 people, prefer resort, focusing on beaches, history.",4,2
start_date,"Family vacation to London (2025-10-24–2025-10-28) with $800 for 3 people, prefer resort, focusing on beaches, history.",2025-10-24,2025-11-05
end_date,"Family vacation to London (2025-10-24–2025-10-28) with $800 for 3 people, prefer resort, focusing on beaches, history.",2025-10-28,2025-11-06
trip_duration,"Family vacation to London (2025-10-24–2025-10-28) with $800 for 3 people, prefer resort, focusing on beaches, history.",4,2
start_date,"Family trip to London (2025-10-24–2025-10-28) with $800 for 3 people, prefer resort, focusing on beaches, history.",2025-10-24,2025-11-05
end_date,"Family trip to London (2025-10-24–2025-10-28) with $800 for 3 people, prefer resort, focusing on beaches, history.",2025-10-28,2025-11-06
trip_duration,"Family trip to London (2025-10-24–2025-10-28) with $800 for 3 people, prefer resort, focusing on beaches, history.",4,2
start_date,"Family vacation to Sydney (2025-02-23–2025-03-02) with $2500 for 3 people, prefer resort, focusing on wildlife, food, culture.",2025-02-23,2025-11-05
end_date,"Family vacation to Sydney (2025-02-23–2025-03-02) with $2500 for 3 people, prefer resort, focusing on wildlife, food, culture.",2025-03-02,2025-11-06
trip_duration,"Family vacation to Sydney (2025-02-23–2025-03-02) with $2500 for 3 people, prefer resort, focusing on wildlife, food, culture.",7,2
start_date,"Family trip to Sydney (2025-02-23–2025-03-02) with $2500 for 3 people, prefer resort, focusing on wildlife, food, culture.",2025-02-23,2025-11-05
end_date,"Family trip to Sydney (2025-02-23–2025-03-02) with $2500 for 3 people, prefer resort, focusing on wildlife, food, culture.",2025-03-02,2025-11-06
trip_duration,"Family trip to Sydney (2025-02-23–2025-03-02) with $2500 for 3 people, prefer resort, focusing on wildlife, food, culture.",7,2
start_date,"Family vacation to Sydney (2025-02-23–2025-03-02) with $2500 for 3 people, prefer resort, focusing on wildlife, food, culture.",2025-02-23,2025-11-05
end_date,"Family vacation to Sydney (2025-02-23–2025-03-02) with $2500 for 3 people, prefer resort, focusing on wildlife, food, culture.",2025-03-02,2025-11-06
trip_duration,"Family vacation to Sydney (2025-02-23–2025-03-02) with $2500 for 3 people, prefer resort, focusing on wildlife, food, culture.",7,2
group_size,"Plan a friends trip to New York from 2025-03-10 to 2025-03-20 staying in a Airbnb, budget $800, interested in wildlife, nightlife.",5,3
group_size,"Help me plan a friends trip to New York from 2025-03-10 to 2025-03-20 staying in a Airbnb, cost $800, interested in wildlife, nightlife.",5,3
group_size,"Help me plan a friends trip to New York from 2025-03-10 to 2025-03-20 staying in a Airbnb, budget $800, focusing on wildlife, nightlife.",5,3
start_date,"Looking for a 8-day friends getaway to Bali, around $2500, staying at a hostel, mainly for photography, history, adventure.",2025-03-07,
end_date,"Looking for a 8-day friends getaway to Bali, around $2500, staying at a hostel, mainly for photography, history, adventure.",2025-03-15,
trip_duration,"Looking for a 8-day friends getaway to Bali, around $2500, staying at a hostel, mainly for photography, history, adventure.",8,
group_size,"Looking for a 8-day friends getaway to Bali, around $2500, staying at a hostel, mainly for photography, history, adventure.",6,3
start_date,"I want a 8-day friends holiday to Bali, about $2500, staying at a hostel, mainly for photography, history, adventure.",2025-03-07,
end_date,"I want a 8-day friends holiday to Bali, about $2500, staying at a hostel, mainly for photography, history, adventure.",2025-03-15,
trip_duration,"I want a 8-day friends holiday to Bali, about $2500, staying at a hostel, mainly for photography, history, adventure.",8,
group_size,"I want a 8-day friends holiday to Bali, about $2500, staying at a hostel, mainly for photography, history, adventure.",6,3
start_date,"Looking for a 8-day friends getaway to Bali, about $2500, booked in a hostel, mainly for photography, history, adventure.",2025-03-07,
end_date,"Looking for a 8-day friends getaway to Bali, about $2500, booked in a hostel, mainly for photography, history, adventure.",2025-03-15,
trip_duration,"Looking for a 8-day friends getaway to Bali, about $2500, booked in a hostel, mainly for photography, history, adventure.",8,
group_size,"Looking for a 8-day friends getaway to Bali, about $2500, booked in a hostel, mainly for photography, history, adventure.",6,3
start_date,"Couple vacation to Rome (2025-06-13–2025-06-20) with $1200 for 2 people, prefer Airbnb, focusing on hiking, art.",2025-06-13,2025-11-05
end_date,"Couple vacation to Rome (2025-06-13–2025-06-20) with $1200 for 2 people, prefer Airbnb, focusing on hiking, art.",2025-06-20,2025-11-06
trip_duration,"Couple vacation to Rome (2025-06-13–2025-06-20) with $1200 for 2 people, prefer Airbnb, focusing on hiking, art.",7,2
start_date,"Couple vacation to Rome (2025-06-13–2025-06-20) with $1200 for 2 people, prefer Airbnb, focusing on hiking, art.",2025-06-13,2025-11-05
end_date,"Couple vacation to Rome (2025-06-13–2025-06-20) with $1200 for 2 people, prefer Airbnb, focusing on hiking, art.",2025-06-20,2025-11-06
trip_duration,"Couple vacation to Rome (2025-06-13–2025-06-20) with $1200 for 2 people, prefer Airbnb, focusing on hiking, art.",7,2
start_date,"Couple vacation to Rome (2025-06-13–2025-06-20) with $1200 for 2 people, prefer Airbnb, focusing on hiking, art.",2025-06-13,2025-11-05
end_date,"Couple vacation to Rome (2025-06-13–2025-06-20) with $1200 for 2 people, prefer Airbnb, focusing on hiking, art.",2025-06-20,2025-11-06
trip_duration,"Couple vacation to Rome (2025-06-13–2025-06-20) with $1200 for 2 people, prefer Airbnb, focusing on hiking, art.",7,2
start_date,"Couple vacation to Dubai (2025-08-02–2025-08-09) with $3000 for 2 people, prefer resort, focusing on history.",2025-08-02,2025-11-05
end_date,"Couple vacation to Dubai (2025-08-02–2025-08-09) with $3000 for 2 people, prefer resort, focusing on history.",2025-08-09,2025-11-06
trip_duration,"Couple vacation to Dubai (2025-08-02–2025-08-09) with $3000 for 2 people, prefer resort, focusing on history.",7,2
start_date,"Couple vacation to Dubai (2025-08-02–2025-08-09) with $3000 for 2 people, prefer resort, focusing on history.",2025-08-02,2025-11-05
end_date,"Couple vacation to Dubai (2025-08-02–2025-08-09) with $3000 for 2 people, prefer resort, focusing on history.",2025-08-09,2025-11-06
trip_duration,"Couple vacation to Dubai (2025-08-02–2025-08-09) with $3000 for 2 people, prefer resort, focusing on history.",7,2
start_date,"Couple vacation to Dubai (2025-08-02–2025-08-09) with $3000 for 2 people, prefer resort, focusing on history.",2025-08-02,2025-11-05
end_date,"Couple vacation to Dubai (2025-08-02–2025-08-09) with $3000 for 2 people, prefer resort, focusing on history.",2025-08-09,2025-11-06
trip_duration,"Couple vacation to Dubai (2025-08-02–2025-08-09) with $3000 for 2 people, prefer resort, focusing on history.",7,2
start_date,"Looking for a 9-day solo getaway to New York, around $800, staying at a resort, mainly for hiking.",2025-05-22,
end_date,"Looking for a 9-day solo getaway to New York, around $800, staying at a resort, mainly for hiking.",2025-05-31,
trip_duration,"Looking for a 9-day solo getaway to New York, around $800, staying at a resort, mainly for hiking.",9,
start_date,"I want a 9-day solo holiday to New York, around $800, staying at a resort, mainly for hiking.",2025-05-22,
end_date,"I want a 9-day solo holiday to New York, around $800, staying at a resort, mainly for hiking.",2025-05-31,
trip_duration,"I want a 9-day solo holiday to New York, around $800, staying at a resort, mainly for hiking.",9,
start_date,"I want a 9-day solo getaway to New York, about $800, booked in a resort, mainly for hiking.",2025-05-22,
end_date,"I want a 9-day solo getaway to New York, about $800, booked in a resort, mainly for hiking.",2025-05-31,
trip_duration,"I want a 9-day solo getaway to New York, about $800, booked in a resort, mainly for hiking.",9,
start_date,"Friends vacation to Bangkok (2025-02-25–2025-03-05) with $5000 for 6 people, prefer hotel, focusing on history, beaches.",2025-02-25,2025-11-05
end_date,"Friends vacation to Bangkok (2025-02-25–2025-03-05) with $5000 for 6 people, prefer hotel, focusing on history, beaches.",2025-03-05,2025-11-06
trip_duration,"Friends vacation to Bangkok (2025-02-25–2025-03-05) with $5000 for 6 people, prefer hotel, focusing on history, beaches.",8,2
start_date,"Friends trip to Bangkok (2025-02-25–2025-03-05) with $5000 for 6 people, prefer hotel, focusing on history, beaches.",2025-02-25,2025-11-05
end_date,"Friends trip to Bangkok (2025-02-25–2025-03-05) with $5000 for 6 people, prefer hotel, focusing on history, beaches.",2025-03-05,2025-11-06
trip_duration,"Friends trip to Bangkok (2025-02-25–2025-03-05) with $5000 for 6 people, prefer hotel, focusing on history, beaches.",8,2
start_date,"Friends vacation to Bangkok (2025-02-25–2025-03-05) with $5000 for 6 people, prefer hotel, focusing on history, beaches.",2025-02-25,2025-11-05
end_date,"Friends vacation to Bangkok (2025-02-25–2025-03-05) with $5000 for 6 people, prefer hotel, focusing on history, beaches.",2025-03-05,2025-11-06
trip_duration,"Friends vacation to Bangkok (2025-02-25–2025-03-05) with $5000 for 6 people, prefer hotel, focusing on history, beaches.",8,2
start_date,"Looking for a 7-day family getaway to Bangkok, around $2500, staying at a Airbnb, mainly for wildlife, hiking, nightlife.",2025-10-17,
end_date,"Looking for a 7-day family getaway to Bangkok, around $2500, staying at a Airbnb, mainly for wildlife, hiking, nightlife.",2025-10-24,
trip_duration,"Looking for a 7-day family getaway to Bangkok, around $2500, staying at a Airbnb, mainly for wildlife, hiking, nightlife.",7,
start_date,"Looking for a 7-day family holiday to Bangkok, about $2500, booked in a Airbnb, mainly for wildlife, hiking, nightlife.",2025-10-17,
end_date,"Looking for a 7-day family holiday to Bangkok, about $2500, booked in a Airbnb, mainly for wildlife, hiking, nightlife.",2025-10-24,
trip_duration,"Looking for a 7-day family holiday to Bangkok, about $2500, booked in a Airbnb, mainly for wildlife, hiking, nightlife.",7,
start_date,"Looking for a 7-day family getaway to Bangkok, around $2500, booked in a Airbnb, mainly for wildlife, hiking, nightlife.",2025-10-17,
end_date,"Looking for a 7-day family getaway to Bangkok, around $2500, booked in a Airbnb, mainly for wildlife, hiking, nightlife.",2025-10-24,
trip_duration,"Looking for a 7-day family getaway to Bangkok, around $2500, booked in a Airbnb, mainly for wildlife, hiking, nightlife.",7,
start_date,"Looking for a 9-day family getaway to Tokyo, around $2500, staying at a villa, mainly for photography, beaches.",2025-07-22,
end_date,"Looking for a 9-day family getaway to Tokyo, around $2500, staying at a villa, mainly for photography, beaches.",2025-07-31,
trip_duration,"Looking for a 9-day family getaway to Tokyo, around $2500, staying at a villa, mainly for photography, beaches.",9,
start_date,"Looking for a 9-day family getaway to Tokyo, around $2500, booked in a villa, mainly for photography, beaches.",2025-07-22,
end_date,"Looking for a 9-day family getaway to Tokyo, around $2500, booked in a villa, mainly for photography, beaches.",2025-07-31,
trip_duration,"Looking for a 9-day family getaway to Tokyo, around $2500, booked in a villa, mainly for photography, beaches.",9,
start_date,"Looking for a 9-day family getaway to Tokyo, about $2500, booked in a villa, mainly for photography, beaches.",2025-07-22,
end_date,"Looking for a 9-day family getaway to Tokyo, about $2500, booked in a villa, mainly for photography, beaches.",2025-07-31,
trip_duration,"Looking for a 9-day family getaway to Tokyo, about $2500, booked in a villa, mainly for photography, beaches.",9,
start_date,"Looking for a 7-day friends getaway to Rome, around $800, staying at a resort, mainly for art, wildlife.",2025-10-08,
end_date,"Looking for a 7-day friends getaway to Rome, around $800, staying at a resort, mainly for art, wildlife.",2025-10-15,
trip_duration,"Looking for a 7-day friends getaway to Rome, around $800, staying at a resort, mainly for art, wildlife.",7,
group_size,"Looking for a 7-day friends getaway to Rome, around $800, staying at a resort, mainly for art, wildlife.",5,3
start_date,"Looking for a 7-day friends getaway to Rome, around $800, booked in a resort, mainly for art, wildlife.",2025-10-08,
end_date,"Looking for a 7-day friends getaway to Rome, around $800, booked in a resort, mainly for art, wildlife.",2025-10-15,
trip_duration,"Looking for a 7-day friends getaway to Rome, around $800, booked in a resort, mainly for art, wildlife.",7,
group_size,"Looking for a 7-day friends getaway to Rome, around $800, booked in a resort, mainly for art, wildlife.",5,3
start_date,"Looking for a 7-day friends getaway to Rome, around $800, booked in a resort, mainly for art, wildlife.",2025-10-08,
end_date,"Looking for a 7-day friends getaway to Rome, around $800, booked in a resort, mainly for art, wildlife.",2025-10-15,
trip_duration,"Looking for a 7-day friends getaway to Rome, around $800, booked in a resort, mainly for art, wildlife.",7,
group_size,"Looking for a 7-day friends getaway to Rome, around $800, booked in a resort, mainly for art, wildlife.",5,3
start_date,"Looking for a 10-day couple getaway to Sydney, around $1500, staying at a Airbnb, mainly for shopping.",2025-01-19,
end_date,"Looking for a 10-day couple getaway to Sydney, around $1500, staying at a Airbnb, mainly for shopping.",2025-01-29,
trip_duration,"Looking for a 10-day couple getaway to Sydney, around $1500, staying at a Airbnb, mainly for shopping.",10,
start_date,"Looking for a 10-day couple holiday to Sydney, around $1500, staying at a Airbnb, mainly for shopping.",2025-01-19,
end_date,"Looking for a 10-day couple holiday to Sydney, around $1500, staying at a Airbnb, mainly for shopping.",2025-01-29,
trip_duration,"Looking for a 10-day couple holiday to Sydney, around $1500, staying at a Airbnb, mainly for shopping.",10,
start_date,"Looking for a 10-day couple getaway to Sydney, around $1500, booked in a Airbnb, mainly for shopping.",2025-01-19,
end_date,"Looking for a 10-day couple getaway to Sydney, around $1500, booked in a Airbnb, mainly for shopping.",2025-01-29,
trip_duration,"Looking for a 10-day couple getaway to Sydney, around $1500, booked in a Airbnb, mainly for shopping.",10,
start_date,"Looking for a 10-day friends getaway to New York, around $800, staying at a Airbnb, mainly for history, relaxation, photography.",2025-09-14,
end_date,"Looking for a 10-day friends getaway to New York, around $800, staying at a Airbnb, mainly for history, relaxation, photography.",2025-09-24,
trip_duration,"Looking for a 10-day friends getaway to New York, around $800, staying at a Airbnb, mainly for history, relaxation, photography.",10,
start_date,"Looking for a 10-day friends getaway to New York, around $800, staying at a Airbnb, mainly for history, relaxation, photography.",2025-09-14,
end_date,"Looking for a 10-day friends getaway to New York, around $800, staying at a Airbnb, mainly for history, relaxation, photography.",2025-09-24,
trip_duration,"Looking for a 10-day friends getaway to New York, around $800, staying at a Airbnb, mainly for history, relaxation, photography.",10,
start_date,"I want a 10-day friends getaway to New York, around $800, booked in a Airbnb, mainly for history, relaxation, photography.",2025-09-14,
end_date,"I want a 10-day friends getaway to New York, around $800, booked in a Airbnb, mainly for history, relaxation, photography.",2025-09-24,
trip_duration,"I want a 10-day friends getaway to New York, around $800, booked in a Airbnb, mainly for history, relaxation, photography.",10,
start_date,"Looking for a 7-day friends getaway to Cape Town, around $2500, staying at a hostel, mainly for adventure.",2025-03-05,
end_date,"Looking for a 7-day friends getaway to Cape Town, around $2500, staying at a hostel, mainly for adventure.",2025-03-12,
trip_duration,"Looking for a 7-day friends getaway to Cape Town, around $2500, staying at a hostel, mainly for adventure.",7,
group_size,"Looking for a 7-day friends getaway to Cape Town, around $2500, staying at a hostel, mainly for adventure.",5,3
start_date,"Looking for a 7-day friends getaway to Cape Town, around $2500, staying at a hostel, mainly for adventure.",2025-03-05,
end_date,"Looking for a 7-day friends getaway to Cape Town, around $2500, staying at a hostel, mainly for adventure.",2025-03-12,
trip_duration,"Looking for a 7-day friends getaway to Cape Town, around $2500, staying at a hostel, mainly for adventure.",7,
group_size,"Looking for a 7-day friends getaway to Cape Town, around $2500, staying at a hostel, mainly for adventure.",5,3
start_date,"I want a 7-day friends holiday to Cape Town, around $2500, staying at a hostel, mainly for adventure.",2025-03-05,
end_date,"I want a 7-day friends holiday to Cape Town, around $2500, staying at a hostel, mainly for adventure.",2025-03-12,
trip_duration,"I want a 7-day friends holiday to Cape Town, around $2500, staying at a hostel, mainly for adventure.",7,
group_size,"I want a 7-day friends holiday to Cape Town, around $2500, staying at a hostel, mainly for adventure.",5,3
start_date,"Family vacation to New York (2025-03-21–2025-03-27) with $3000 for 4 people, prefer villa, focusing on shopping, relaxation.",2025-03-21,2025-11-05
end_date,"Family vacation to New York (2025-03-21–2025-03-27) with $3000 for 4 people, prefer villa, focusing on shopping, relaxation.",2025-03-27,2025-11-06
trip_duration,"Family vacation to New York (2025-03-21–2025-03-27) with $3000 for 4 people, prefer villa, focusing on shopping, relaxation.",6,2
start_date,"Family vacation to New York (2025-03-21–2025-03-27) with $3000 for 4 people, prefer villa, focusing on shopping, relaxation.",2025-03-21,2025-11-05
end_date,"Family vacation to New York (2025-03-21–2025-03-27) with $3000 for 4 people, prefer villa, focusing on shopping, relaxation.",2025-03-27,2025-11-06
trip_duration,"Family vacation to New York (2025-03-21–2025-03-27) with $3000 for 4 people, prefer villa, focusing on shopping, relaxation.",6,2
start_date,"Family vacation to New York (2025-03-21–2025-03-27) with $3000 for 4 people, prefer villa, focusing on shopping, relaxation.",2025-03-21,2025-11-05
end_date,"Family vacation to New York (2025-03-21–2025-03-27) with $3000 for 4 people, prefer villa, focusing on shopping, relaxation.",2025-03-27,2025-11-06
trip_duration,"Family vacation to New York (2025-03-21–2025-03-27) with $3000 for 4 people, prefer villa, focusing on shopping, relaxation.",6,2
start_date,"Couple vacation to Cape Town (2025-10-08–2025-10-14) with $5000 for 2 people, prefer villa, focusing on beaches.",2025-10-08,2025-11-05
end_date,"Couple vacation to Cape Town (2025-10-08–2025-10-14) with $5000 for 2 people, prefer villa, focusing on beaches.",2025-10-14,2025-11-06
trip_duration,"Couple vacation to Cape Town (2025-10-08–2025-10-14) with $5000 for 2 people, prefer villa, focusing on beaches.",6,2
start_date,"Couple vacation to Cape Town (2025-10-08–2025-10-14) with $5000 for 2 people, prefer villa, focusing on beaches.",2025-10-08,2025-11-05
end_date,"Couple vacation to Cape Town (2025-10-08–2025-10-14) with $5000 for 2 people, prefer villa, focusing on beaches.",2025-10-14,2025-11-06
trip_duration,"Couple vacation to Cape Town (2025-10-08–2025-10-14) with $5000 for 2 people, prefer villa, focusing on beaches.",6,2
start_date,"Couple vacation to Cape Town (2025-10-08–2025-10-14) with $5000 for 2 people, prefer villa, focusing on beaches.",2025-10-08,2025-11-05
end_date,"Couple vacation to Cape Town (2025-10-08–2025-10-14) with $5000 for 2 people, prefer villa, focusing on beaches.",2025-10-14,2025-11-06
trip_duration,"Couple vacation to Cape Town (2025-10-08–2025-10-14) with $5000 for 2 people, prefer villa, focusing on beaches.",6,2
start_date,"Friends vacation to Sydney (2025-09-17–2025-09-22) with $800 for 5 people, prefer hostel, focusing on relaxation.",2025-09-17,2025-11-05
end_date,"Friends vacation to Sydney (2025-09-17–2025-09-22) with $800 for 5 people, prefer hostel, focusing on relaxation.",2025-09-22,2025-11-06
trip_duration,"Friends vacation to Sydney (2025-09-17–2025-09-22) with $800 for 5 people, prefer hostel, focusing on relaxation.",5,2
start_date,"Friends vacation to Sydney (2025-09-17–2025-09-22) with $800 for 5 people, prefer hostel, focusing on relaxation.",2025-09-17,2025-11-05
end_date,"Friends vacation to Sydney (2025-09-17–2025-09-22) with $800 for 5 people, prefer hostel, focusing on relaxation.",2025-09-22,2025-11-06
trip_duration,"Friends vacation to Sydney (2025-09-17–2025-09-22) with $800 for 5 people, prefer hostel, focusing on relaxation.",5,2
start_date,"Friends vacation to Sydney (2025-09-17–2025-09-22) with $800 for 5 people, prefer hostel, focusing on relaxation.",2025-09-17,2025-11-05
end_date,"Friends vacation to Sydney (2025-09-17–2025-09-22) with $800 for 5 people, prefer hostel, focusing on relaxation.",2025-09-22,2025-11-06
trip_duration,"Friends vacation to Sydney (2025-09-17–2025-09-22) with $800 for 5 people, prefer hostel, focusing on relaxation.",5,2
start_date,"Couple vacation to Tokyo (2025-04-07–2025-04-12) with $2500 for 2 people, prefer Airbnb, focusing on shopping.",2025-04-07,2025-11-05
end_date,"Couple vacation to Tokyo (2025-04-07–2025-04-12) with $2500 for 2 people, prefer Airbnb, focusing on shopping.",2025-04-12,2025-11-06
trip_duration,"Couple vacation to Tokyo (2025-04-07–2025-04-12) with $2500 for 2 people, prefer Airbnb, focusing on shopping.",5,2
start_date,"Couple vacation to Tokyo (2025-04-07–2025-04-12) with $2500 for 2 people, prefer Airbnb, focusing on shopping.",2025-04-07,2025-11-05
end_date,"Couple vacation to Tokyo (2025-04-07–2025-04-12) with $2500 for 2 people, prefer Airbnb, focusing on shopping.",2025-04-12,2025-11-06
trip_duration,"Couple vacation to Tokyo (2025-04-07–2025-04-12) with $2500 for 2 people, prefer Airbnb, focusing on shopping.",5,2
start_date,"Couple trip to Tokyo (2025-04-07–2025-04-12) with $2500 for 2 people, prefer Airbnb, focusing on shopping.",2025-04-07,2025-11-05
end_date,"Couple trip to Tokyo (2025-04-07–2025-04-12) with $2500 for 2 people, prefer Airbnb, focusing on shopping.",2025-04-12,2025-11-06
trip_duration,"Couple trip to Tokyo (2025-04-07–2025-04-12) with $2500 for 2 people, prefer Airbnb, focusing on shopping.",5,2
start_date,"Looking for a 8-day friends getaway to Bangkok, around $2000, staying at a resort, mainly for culture, adventure.",2025-09-29,
end_date,"Looking for a 8-day friends getaway to Bangkok, around $2000, staying at a resort, mainly for culture, adventure.",2025-10-07,
trip_duration,"Looking for a 8-day friends getaway to Bangkok, around $2000, staying at a resort, mainly for culture, adventure.",8,
start_date,"Looking for a 8-day friends holiday to Bangkok, about $2000, booked in a resort, mainly for culture, adventure.",2025-09-29,
end_date,"Looking for a 8-day friends holiday to Bangkok, about $2000, booked in a resort, mainly for culture, adventure.",2025-10-07,
trip_duration,"Looking for a 8-day friends holiday to Bangkok, about $2000, booked in a resort, mainly for culture, adventure.",8,
start_date,"I want a 8-day friends holiday to Bangkok, around $2000, booked in a resort, mainly for culture, adventure.",2025-09-29,
end_date,"I want a 8-day friends holiday to Bangkok, around $2000, booked in a resort, mainly for culture, adventure.",2025-10-07,
trip_duration,"I want a 8-day friends holiday to Bangkok, around $2000, booked in a resort, mainly for culture, adventure.",8,
start_date,"Looking for a 4-day couple getaway to Cape Town, around $3000, staying at a resort, mainly for photography, relaxation, art.",2025-03-04,
end_date,"Looking for a 4-day couple getaway to Cape Town, around $3000, staying at a resort, mainly for photography, relaxation, art.",2025-03-08,
trip_duration,"Looking for a 4-day couple getaway to Cape Town, around $3000, staying at a resort, mainly for photography, relaxation, art.",4,
start_date,"Looking for a 4-day couple holiday to Cape Town, around $3000, staying at a resort, mainly for photography, relaxation, art.",2025-03-04,
end_date,"Looking for a 4-day couple holiday to Cape Town, around $3000, staying at a resort, mainly for photography, relaxation, art.",2025-03-08,
trip_duration,"Looking for a 4-day couple holiday to Cape Town, around $3000, staying at a resort, mainly for photography, relaxation, art.",4,
start_date,"Looking for a 4-day couple holiday to Cape Town, around $3000, booked in a resort, mainly for photography, relaxation, art.",2025-03-04,
end_date,"Looking for a 4-day couple holiday to Cape Town, around $3000, booked in a resort, mainly for photography, relaxation, art.",2025-03-08,
trip_duration,"Looking for a 4-day couple holiday to Cape Town, around $3000, booked in a resort, mainly for photography, relaxation, art.",4,
start_date,"Looking for a 7-day couple getaway to Dubai, around $5000, staying at a hotel, mainly for culture, wildlife, hiking.",2025-01-12,
end_date,"Looking for a 7-day couple getaway to Dubai, around $5000, staying at a hotel, mainly for culture, wildlife, hiking.",2025-01-19,
trip_duration,"Looking for a 7-day couple getaway to Dubai, around $5000, staying at a hotel, mainly for culture, wildlife, hiking.",7,
start_date,"I want a 7-day couple getaway to Dubai, around $5000, staying at a hotel, mainly for culture, wildlife, hiking.",2025-01-12,
end_date,"I want a 7-day couple getaway to Dubai, around $5000, staying at a hotel, mainly for culture, wildlife, hiking.",2025-01-19,
trip_duration,"I want a 7-day couple getaway to Dubai, around $5000, staying at a hotel, mainly for culture, wildlife, hiking.",7,
start_date,"Looking for a 7-day couple holiday to Dubai, around $5000, staying at a hotel, mainly for culture, wildlife, hiking.",2025-01-12,
end_date,"Looking for a 7-day couple holiday to Dubai, around $5000, staying at a hotel, mainly for culture, wildlife, hiking.",2025-01-19,
trip_duration,"Looking for a 7-day couple holiday to Dubai, around $5000, staying at a hotel, mainly for culture, wildlife, hiking.",7,
start_date,"Looking for a 4-day couple getaway to London, around $1200, staying at a Airbnb, mainly for culture.",2025-09-12,
end_date,"Looking for a 4-day couple getaway to London, around $1200, staying at a Airbnb, mainly for culture.",2025-09-16,
trip_duration,"Looking for a 4-day couple getaway to London, around $1200, staying at a Airbnb, mainly for culture.",4,
start_date,"Looking for a 4-day couple getaway to London, around $1200, booked in a Airbnb, mainly for culture.",2025-09-12,
end_date,"Looking for a 4-day couple getaway to London, around $1200, booked in a Airbnb, mainly for culture.",2025-09-16,
trip_duration,"Looking for a 4-day couple getaway to London, around $1200, booked in a Airbnb, mainly for culture.",4,
start_date,"Looking for a 4-day couple holiday to London, around $1200, staying at a Airbnb, mainly for culture.",2025-09-12,
end_date,"Looking for a 4-day couple holiday to London, around $1200, staying at a Airbnb, mainly for culture.",2025-09-16,
trip_duration,"Looking for a 4-day couple holiday to London, around $1200, staying at a Airbnb, mainly for culture.",4,
start_date,"Looking for a 3-day couple getaway to London, around $2000, staying at a hostel, mainly for nightlife.",2025-02-03,
end_date,"Looking for a 3-day couple getaway to London, around $2000, staying at a hostel, mainly for nightlife.",2025-02-06,
trip_duration,"Looking for a 3-day couple getaway to London, around $2000, staying at a hostel, mainly for nightlife.",3,
start_date,"I want a 3-day couple getaway to London, around $2000, staying at a hostel, mainly for nightlife.",2025-02-03,
end_date,"I want a 3-day couple getaway to London, around $2000, staying at a hostel, mainly for nightlife.",2025-02-06,
trip_duration,"I want a 3-day couple getaway to London, around $2000, staying at a hostel, mainly for nightlife.",3,
start_date,"I want a 3-day couple holiday to London, about $2000, staying at a hostel, mainly for nightlife.",2025-02-03,
end_date,"I want a 3-day couple holiday to London, about $2000, staying at a hostel, mainly for nightlife.",2025-02-06,
trip_duration,"I want a 3-day couple holiday to London, about $2000, staying at a hostel, mainly for nightlife.",3,
start_date,"Solo vacation to Bangkok (2025-08-28–2025-09-04) with $2500 for 1 people, prefer resort, focusing on hiking, food, wildlife.",2025-08-28,2025-11-05
end_date,"Solo vacation to Bangkok (2025-08-28–2025-09-04) with $2500 for 1 people, prefer resort, focusing on hiking, food, wildlife.",2025-09-04,2025-11-06
